"0","Male","Cheetah","false"
"1","Male","Smoothie","false"
"2","Male","Zombie (Black)","false"
"3","Male","Candy Floss","false"
"4","Male","Moody Blue","true"
"5","Male","Black & White","false"
"6","Female","Winter","false"
"7","Female","Sandy","false"
"8","Male","Tie Dye","false"
"9","Male","Darkness","false"
"10","Male","Sandy","false"
"11","Male","Smoothie","false"
"12","Male","Zebra","false"
"13","Male","Cow","false"
"14","Male","Zombie (Red)","false"
"15","Male","Barney","false"
"16","Male","Darkness","false"
"17","Female","","false"
"18","Male","Peppermint","false"
"19","Male","Sky","false"
"20","Female","Darkness","false"
"21","Male","Candy Floss","false"
"22","Male","Sky","false"
"23","Male","Marshmellow","false"
"24","Male","Cow","false"
"25","Female","Peppermint","false"
"26","Female","Candy Floss","false"
"27","Male","Darkness","false"
"28","Female","Pheonix","false"
"29","Male","Tie Dye","false"
"30","Male","Honeycomb","false"
"31","Male","Peppermint","false"
"32","Male","Black & White","false"
"33","Female","Barney","false"
"34","Male","Marshmellow","false"
"35","Male","Blue Blood","false"
"36","Male","Guernica","false"
"37","Male","Camo","false"
"38","Male","Orange","false"
"39","Female","","false"
"40","Female","Brown","false"
"41","Male","Orange","false"
"42","Female","Avatar","true"
"43","Male","Hawk","false"
"44","Male","Darkness","false"
"45","Male","Cow","false"
"46","Male","Winter","false"
"47","Male","Winter","false"
"48","Male","Ice Cream","false"
"49","Male","Pheonix","false"
"50","Female","Tie Dye","false"
"51","Male","Black & White","false"
"52","Male","Retro","false"
"53","Male","Moody Blue","false"
"54","Female","Orange","false"
"55","Female","Brown","false"
"56","Male","Camo","false"
"57","Female","Tie Dye","false"
"58","Female","Honeycomb","false"
"59","Female","Brown","false"
"60","Male","Darkness","false"
"61","Male","Smoothie","false"
"62","Male","Brown","false"
"63","Female","Winter","false"
"64","Male","Barney","false"
"65","Male","Sandy","false"
"66","Male","Camo","false"
"67","Male","Sandy","false"
"68","Female","Retro","false"
"69","Female","","false"
"70","Female","Grey","false"
"71","Female","Darkness","false"
"72","Male","Brown","false"
"73","Male","Highlighter","false"
"74","Female","Winter","false"
"75","Female","Orange","false"
"76","Male","Brown","false"
"77","Male","Black & White","false"
"78","Male","Sky","false"
"79","Male","Ice Cream","false"
"80","Female","Winter","false"
"81","Female","Red","false"
"82","Male","Darkness","false"
"83","Male","Orange","false"
"84","Male","Tiger","false"
"85","Male","Grinch","false"
"86","Male","Guernica","false"
"87","Female","Orange","false"
"88","Male","Brown","false"
"89","Male","Peppermint","false"
"90","Male","Guernica","false"
"91","Male","Red","false"
"92","Female","Guernica","false"
"93","Male","Kandinsky","false"
"94","Male","Orange","false"
"95","Male","Sandy","true"
"96","Female","Darkness","false"
"97","Female","Orange","false"
"98","Female","Sandy","false"
"99","Male","Hawk","false"
"100","Male","Raspberry Ripple","false"
"101","Female","","false"
"102","Female","Raspberry Ripple","false"
"103","Male","Raspberry Ripple","false"
"104","Female","Grey","false"
"105","Male","Winter","false"
"106","Male","Black & White","false"
"107","Female","Cow","false"
"108","Female","Zombie (Black)","false"
"109","Female","Sky","false"
"110","Female","Winter","false"
"111","Female","Marshmellow","false"
"112","Female","Guernica","false"
"113","Male","Marshmellow","false"
"114","Female","Marshmellow","false"
"115","Male","Kandinsky","false"
"116","Female","Brown","false"
"117","Male","Grey","false"
"118","Female","","false"
"119","Male","Smoothie","false"
"120","Female","Zebra","false"
"121","Male","Zombie (Black)","false"
"122","Male","Moody Blue","false"
"123","Male","Sandy","false"
"124","Female","Sandy","false"
"125","Female","Ice Cream","false"
"126","Male","Red","false"
"127","Female","Honeycomb","false"
"128","Female","Brown","false"
"129","Female","Peppermint","false"
"130","Male","Black & White","false"
"131","Male","Red","false"
"132","Male","Camo","false"
"133","Female","Darkness","false"
"134","Female","Sandy","false"
"135","Male","Raspberry Ripple","false"
"136","Male","Candy Floss","false"
"137","Male","Darkness","false"
"138","Female","","false"
"139","Female","Tiger","false"
"140","Male","Sky","false"
"141","Female","Honeycomb","false"
"142","Male","Cheetah","false"
"143","Male","Darkness","false"
"144","Female","Grey","false"
"145","Female","Guernica","false"
"146","Male","Black & White","false"
"147","Female","Zombie (Green)","false"
"148","Male","Black & White","false"
"149","Male","Orange","false"
"150","Male","Winter","false"
"151","Male","Winter","false"
"152","Male","Parrot","false"
"153","Female","","false"
"154","Female","","false"
"155","Female","Highlighter","false"
"156","Male","Peppermint","false"
"157","Male","Red","true"
"158","Female","Silver","false"
"159","Female","Cheetah","false"
"160","Male","Raspberry Ripple","false"
"161","Male","Brown","false"
"162","Male","Grey","false"
"163","Male","Sandy","false"
